OrdID (279),TimeStamp,OptSym,Under,Exp,Strike,CallPut,OpnInt,Ind,Exch,Price,Sz,BidPrc,BidSz,AskPrc,AskSz,Sprd,SizeR,LeanSz,Side,PrntToBid,PrntToAsk,Penny,
241329822,08:30:08.475,MU01172055C,MU,2020-01-17,55.00,C,0,AUTO,AMEX,8.60,250,8.60,250,9.60,81,1,67,250,Bid,0.00,1.00,Y,
241330875,08:30:17.197,GE01181932P,GE,2019-01-18,32.00,P,0,REG,CBOE,15.75,9,13.70,3,15.70,740,2,99,740,Ask,2.05,-0.05,Y,
241331791,08:30:25.957,MDT01181975P,MDT,2019-01-18,75.00,P,0,REG,CBOE,4.50,10,3.85,22,4.50,269,0.65,91,269,Ask,0.65,0.00,Y,
241331792,08:30:25.966,MDT01181985C,MDT,2019-01-18,85.00,C,0,REG,CBOE,5.25,10,4.40,22,5.25,269,0.85,91,269,Ask,0.85,0.00,Y,
241331793,08:30:25.968,MDT01181985P,MDT,2019-01-18,85.00,P,0,REG,CBOE,8.85,10,8.00,126,8.85,269,0.85,53,269,Ask,0.85,0.00,Y,
241334206,08:30:55.686,MU04201841C,MU,2018-04-20,41.00,C,0,AUTO,PHLX,6.70,15,6.70,278,7.35,212,0.649999999999999,23,278,Bid,0.00,0.65,Y,
241334333,08:30:57.137,C01172085C,C,2020-01-17,85.00,C,0,AUTO,PHLX,8.05,10,6.00,839,8.05,898,2.05,6,898,Ask,2.05,0.00,Y,
241336089,08:31:22.652,AAPL011720240C,AAPL,2020-01-17,240.00,C,0,ISOI,EDGX,7.90,1,6.10,6,7.90,481,1.8,98,481,Ask,1.80,0.00,Y,
241340694,08:32:20.868,AAPL011720250C,AAPL,2020-01-17,250.00,C,0,ISOI,PHLX,7.00,1,5.05,16,7.00,1401,1.95,98,1401,Ask,1.95,0.00,Y,
241346078,08:33:31.685,PCG01181945P,PCG,2019-01-18,45.00,P,0,ISOI,MIA,3.70,1,3.70,619,6.60,1,2.9,99,619,Bid,0.00,2.90,Y,
241349105,08:34:18.056,KMX04201860C,KMX,2018-04-20,60.00,C,0,REG,CBOE,8.40,3,8.40,607,8.90,19,0.5,96,607,Bid,0.00,0.50,Y,
241349608,08:34:26.603,NTNX04201827.5C,NTNX,2018-04-20,27.50,C,0,AUTO,PHLX,10.00,2,9.20,1147,10.00,1623,0.800000000000001,29,1623,Ask,0.80,0.00,Y,
241351140,08:34:51.713,CQP06151829C,CQP,2018-06-15,29.00,C,0,ISOI,AMEX,1.15,1,0.65,670,1.15,613,0.5,-9,613,Ask,0.50,0.00,Y,
241351141,08:34:51.714,CQP06151829C,CQP,2018-06-15,29.00,C,0,ISOI,MPRL,1.15,3,0.65,681,1.15,612,0.5,-11,612,Ask,0.50,0.00,Y,
241351142,08:34:51.714,CQP06151829C,CQP,2018-06-15,29.00,C,0,ISOI,EDGX,1.15,2,0.65,681,1.15,607,0.5,-12,607,Ask,0.50,0.00,Y,
241351143,08:34:51.714,CQP06151829C,CQP,2018-06-15,29.00,C,0,ISOI,EDGX,1.15,1,0.65,681,1.15,607,0.5,-12,607,Ask,0.50,0.00,Y,
241351144,08:34:51.714,CQP06151829C,CQP,2018-06-15,29.00,C,0,ISOI,ISE,1.15,1,0.65,681,1.15,604,0.5,-12,604,Ask,0.50,0.00,Y,
241351145,08:34:51.714,CQP06151829C,CQP,2018-06-15,29.00,C,0,ISOI,MIA,1.15,1,0.65,681,1.15,617,0.5,-10,617,Ask,0.50,0.00,Y,
241351146,08:34:51.715,CQP06151829C,CQP,2018-06-15,29.00,C,0,ISOI,EDGX,1.15,1,0.65,681,1.15,625,0.5,-8,625,Ask,0.50,0.00,Y,
241351147,08:34:51.716,CQP06151829C,CQP,2018-06-15,29.00,C,0,ISOI,EDGX,1.15,1,0.65,665,1.15,616,0.5,-7,616,Ask,0.50,0.00,Y,
241351688,08:34:58.978,TWTR06151819C,TWTR,2018-06-15,19.00,C,0,AUTO,PHLX,6.40,5,6.40,3663,7.40,3668,1,0,3663,Bid,0.00,1.00,Y,
241351877,08:35:02.841,XIN07201810C,XIN,2018-07-20,10.00,C,0,ISOI,MIA,0.25,1,0.25,1592,0.95,1238,0.7,22,1592,Bid,0.00,0.70,Y,
241351878,08:35:02.841,XIN07201810C,XIN,2018-07-20,10.00,C,0,ISOI,MIA,0.25,1,0.25,1592,0.95,1238,0.7,22,1592,Bid,0.00,0.70,Y,
241351879,08:35:02.841,XIN07201810C,XIN,2018-07-20,10.00,C,0,ISOI,MIA,0.25,1,0.25,1592,0.95,1238,0.7,22,1592,Bid,0.00,0.70,Y,
241351881,08:35:02.841,XIN07201810C,XIN,2018-07-20,10.00,C,0,ISOI,MIA,0.25,1,0.25,1592,0.95,1238,0.7,22,1592,Bid,0.00,0.70,Y,
241353107,08:35:21.697,PCG01181955C,PCG,2019-01-18,55.00,C,0,REG,CBOE,3.70,55,0.70,331,3.70,959,3,65,959,Ask,3.00,0.00,Y,
241353108,08:35:21.698,PCG01181955C,PCG,2019-01-18,55.00,C,0,REG,CBOE,3.70,55,0.70,270,3.60,500,2.9,46,500,Ask,3.00,-0.10,Y,
241353360,08:35:26.455,EDIT05181825C,EDIT,2018-05-18,25.00,C,0,ISOI,MIA,5.10,1,4.40,20,5.10,687,0.699999999999999,97,687,Ask,0.70,0.00,Y,
241354750,08:35:44.262,OHI01172023C,OHI,2020-01-17,23.00,C,0,REG,CBOE,4.50,5,3.70,106,4.50,469,0.8,77,469,Ask,0.80,0.00,Y,
241355045,08:35:48.852,ROKU01172045C,ROKU,2020-01-17,45.00,C,0,AUTO,PHLX,20.10,4,20.10,300,24.00,306,3.9,-2,300,Bid,0.00,3.90,Y,
241358233,08:36:31.843,AEM01181933P,AEM,2019-01-18,33.00,P,0,AUTO,PHLX,0.88,20,0.88,1046,1.84,1048,0.96,0,1046,Bid,0.00,0.96,Y,
241359483,08:36:52.306,IYR01181970C,IYR,2019-01-18,70.00,C,0,AUTO,PHLX,11.55,1,10.40,552,11.55,540,1.15,-2,540,Ask,1.15,0.00,Y,
241364520,08:38:02.873,FRO01181915P,FRO,2019-01-18,15.00,P,0,REG,CBOE,11.30,1,10.10,1131,11.30,1298,1.2,12,1298,Ask,1.20,0.00,Y,
241367493,08:38:51.209,TSLA011819290P,TSLA,2019-01-18,290.00,P,0,AUTO,EDGX,33.75,1,33.75,404,35.70,5,1.95,98,404,Bid,0.00,1.95,Y,
241367494,08:38:51.209,TSLA011819290P,TSLA,2019-01-18,290.00,P,0,REG,MPRL,33.75,1,33.75,404,35.70,5,1.95,98,404,Bid,0.00,1.95,Y,
241367495,08:38:51.209,TSLA011819290P,TSLA,2019-01-18,290.00,P,0,REG,MIA,33.75,5,33.75,403,35.70,5,1.95,98,403,Bid,0.00,1.95,Y,
241372034,08:40:10.632,GIS01172057.5C,GIS,2020-01-17,57.50,C,0,AUTO,EDGX,6.65,1,4.65,287,6.65,348,2,17,348,Ask,2.00,0.00,Y,
241372689,08:40:23.126,RRC01172015C,RRC,2020-01-17,15.00,C,0,ISOI,AMEX,4.80,1,3.80,949,4.80,1743,1,45,1743,Ask,1.00,0.00,Y,
